Title,JQI,ai_exposure,wage_median,age_ratio,physical_sustainability,autonomy,employment
"Mining and Geological Engineers, Including Mining Safety Engineers",0.5662785220845422,0.0,46.68,1.0,0.6536575502157078,0.6475032609084204,7370.0
Mechanical Engineers,0.5662255146957046,0.0813,45.82,0.7698412698412699,0.6688190266440867,0.6381965506951344,278240.0
Soil and Plant Scientists,0.5652551959535339,0.0513,32.09,,0.4888810528246814,0.6716805006417447,15610.0
"Special Education Teachers, All Other",0.5648407216709134,0.0257,,,0.3968385088073362,0.7949043895649888,38000.0
Logisticians,0.5638998688565946,0.1571,37.03,0.6071428571428571,0.7138368139700051,0.6294448086955471,189320.0
Credit Counselors,0.5635546029392114,0.2341,22.87,,0.8363831015649914,0.675413522326427,31230.0
Environmental Engineers,0.5632352643847514,0.0358,46.55,0.6,0.6593227070653428,0.6374563359209252,42660.0
First-Line Supervisors of Non-Retail Sales Workers,0.5605668188475882,0.2295,38.31,1.630681818181818,0.6929457573612369,0.6736214755248568,243920.0
"Child, Family, and School Social Workers",0.558697175972877,0.0074,23.63,0.7368421052631579,0.7132992521090714,0.7689788332536208,340050.0
"Secondary School Teachers, Except Special and Career/Technical Education",0.5553449154586373,0.2901,,,0.6855748961521559,0.7399218665729423,1020240.0
Film and Video Editors,0.554239558266909,0.2234,30.13,,0.7574145042820891,0.6012075986015472,28030.0
"News Analysts, Reporters, and Journalists",0.5497355301203414,0.2098,23.26,1.0416666666666667,0.7049841913773816,0.7527434294554419,39080.0
Archivists,0.5491110985843667,0.1348,28.87,,0.5314662907539315,0.5940832822572922,6120.0
Anesthesiologists,0.5480554557208891,0.0,,,0.4082323978195844,0.7370267137479483,31130.0
Proofreaders and Copy Markers,0.5446228419845673,0.1781,21.12,7.0,0.8373049369760385,0.5303914760023494,5340.0
Industrial Production Managers,0.5443480080639499,0.0132,49.59,1.2950819672131149,0.510563099496544,0.6674612535282477,192270.0
Health Education Specialists,0.5421874209544842,0.1376,29.13,,0.6575412360067038,0.701639732437213,55830.0
Interior Designers,0.5413066010928116,0.0,29.01,0.935483870967742,0.7033871186670875,0.6780898638259256,61970.0
Commercial and Industrial Designers,0.5411960234357488,0.0437,37.03,0.8,0.6826532086302793,0.6117286284928379,27940.0
Music Directors and Composers,0.5407332253452398,0.0368,23.62,2.875,0.6389297019534119,0.75052589379158,9560.0
"Elementary School Teachers, Except Special Education",0.5392010462881957,0.103,,,0.6309974393153126,0.7306750204369397,1329280.0
Computer Network Support Specialists,0.5382233542901925,0.2867,30.17,,0.7023817139399176,0.6400502285571298,176200.0
Lodging Managers,0.5367045428853776,0.1215,28.57,1.6538461538461535,0.622986793828415,0.7165874214387865,35920.0
Compliance Officers,0.5360946847665766,0.1211,34.45,1.5964912280701755,0.651274686129155,0.6343637899738279,334340.0
"Career/Technical Education Teachers, Middle School",0.5345593549960653,0.0,,,0.5683028199223787,0.7748028746613521,11840.0
"Special Education Teachers, Middle School",0.5323319817644472,0.134,,,0.6773578802877155,0.6566505279423126,79070.0
Rehabilitation Counselors,0.5307346949256809,0.0,18.54,0.5,0.7378557268271972,0.6897530985479271,90310.0
Computer Systems Analysts,0.5281208245176849,0.2763,47.73,0.7515151515151515,0.755220168959455,0.6477860650991867,505150.0
Broadcast Announcers and Radio Disc Jockeys,0.5252042237799275,0.0634,18.09,,0.7765504309004346,0.6257998675023568,24580.0
"Education and Childcare Administrators, Preschool and Daycare",0.5236934511614576,0.0395,22.75,,0.6039761481113466,0.7450335922490705,56430.0
"Meeting, Convention, and Event Planners",0.5229317591152762,0.1023,23.79,0.4333333333333333,0.5341896913314135,0.7989411932772189,98150.0
Public Relations Managers,0.5226200851472989,0.2315,60.47,,0.5,0.5,59850.0
"Kindergarten Teachers, Except Special Education",0.5205975255098463,0.0,,,0.5564284529999108,0.7295153696483332,120730.0
Probation Officers and Correctional Treatment Specialists,0.5190514184161173,0.0,28.97,0.217391304347826,0.6553943000969166,0.640986047825961,92140.0
Chemists,0.5184757615881758,0.2614,38.19,,0.545146414437348,0.6419523214615133,80600.0
"Personal Service Managers, All Other",0.5161044305641467,0.1244,29.02,0.8666666666666667,0.5225592318507271,0.7447984304586981,7350.0
"Makeup Artists, Theatrical and Performance",0.5152777872563016,0.0,64.78,,0.4253332496510069,0.7006461511887345,1960.0
Occupational Health and Safety Specialists,0.5150387285168396,0.0,37.29,,0.4935981995478229,0.6879247675355202,106340.0
Agricultural Engineers,0.5137278262127749,0.0,39.73,0.0,0.5707168996388421,0.601958337345053,1120.0
Pediatric Surgeons,0.5119754196130435,0.0,,,0.5,0.5,820.0
"Orthopedic Surgeons, Except Pediatric",0.5119754196130435,0.0,,,0.5,0.5,16260.0
Coaches and Scouts,0.5107168163083885,0.0,,1.0,0.4659222466662422,0.7476348894109126,193740.0
Paralegals and Legal Assistants,0.5088338964938705,0.2927,27.03,1.015625,0.8400352606447063,0.6732924678038295,336250.0
Foresters,0.506406121097943,0.0,30.82,,0.4237928868883585,0.7803661388939551,9500.0
